iteration,liveAgents,frameTime,tickTime
1,5000,0.007841,0.0078349
2,5000,0.0065699,0.0065671
3,5000,0.0064856,0.0064843
4,5000,0.0061219,0.0061203
5,5000,0.0061424,0.006141
6,5000,0.0056653,0.005664
7,5000,0.0055949,0.0055939
8,5000,0.005585,0.0055841
9,5000,0.0055998,0.0055981
10,5000,0.0055625,0.0055613
11,5000,0.0055891,0.0055881
12,5000,0.0056506,0.0056493
13,5000,0.0057627,0.0057615
14,5000,0.0064418,0.0064392
15,5000,0.0059775,0.0059752
16,5000,0.0060764,0.0060749
17,5000,0.0061169,0.0061152
18,5000,0.0067107,0.0067084
19,5000,0.0070555,0.0070524
20,5000,0.0068453,0.006843
21,5000,0.0070447,0.0070419
22,5000,0.0065203,0.0065174
23,5000,0.0062785,0.0062763
24,5000,0.0060404,0.0060386
25,5000,0.0058074,0.0058062
26,5000,0.0057224,0.0057211
27,5000,0.0056322,0.0056309
28,5000,0.0057927,0.0057912
29,5000,0.0059075,0.005906
30,5000,0.0058367,0.0058353
31,5000,0.0057425,0.0057411
32,5000,0.0056909,0.0056896
33,5000,0.0056217,0.0056205
34,5000,0.0058747,0.0058733
35,5000,0.0058876,0.0058863
36,5000,0.0057728,0.0057714
37,5000,0.0057046,0.0057035
38,5000,0.0058406,0.0058393
39,5000,0.005606,0.0056046
40,5000,0.0058671,0.0058658
41,5000,0.005828,0.0058265
42,5000,0.0057523,0.005751
43,5000,0.0058051,0.0058029
44,5000,0.0056844,0.0056829
45,5000,0.0055879,0.0055866
46,5000,0.0060774,0.0060747
47,5000,0.0058457,0.0058436
48,5000,0.0056954,0.0056943
49,5000,0.0060374,0.0060359
50,5000,0.005675,0.0056735
51,5000,0.0056186,0.0056175
52,5000,0.0058997,0.0058987
53,5000,0.0059314,0.0059296
54,5000,0.005729,0.0057273
55,5000,0.0056675,0.0056664
56,5000,0.0056508,0.0056497
57,5000,0.0057441,0.0057428
58,5000,0.0058311,0.0058298
59,5000,0.0058368,0.0058354
60,5000,0.0057812,0.0057794
61,5000,0.0056719,0.0056708
62,5000,0.0056724,0.0056714
63,5000,0.0058863,0.0058849
64,5000,0.0059862,0.005985
65,5000,0.0058108,0.0058094
66,5000,0.0057795,0.0057783
67,5000,0.005656,0.005655
68,5000,0.0056885,0.005687
69,5000,0.0055787,0.0055777
70,5000,0.005781,0.00578
71,5000,0.0057804,0.005779
72,5000,0.0058026,0.0058005
73,5000,0.0060651,0.0060614
74,5000,0.005631,0.0056288
75,5000,0.0057534,0.0057513
76,5000,0.0057298,0.0057281
77,5000,0.0057135,0.0057119
78,5000,0.0055478,0.0055469
79,5000,0.0055365,0.0055358
80,5000,0.0055708,0.0055697
81,5000,0.0055455,0.0055443
82,5000,0.005712,0.0057109
83,5000,0.0057213,0.0057198
84,5000,0.0055605,0.0055594
85,5000,0.0055627,0.0055618
86,5000,0.0056032,0.0056022
87,5000,0.0055672,0.0055664
88,5000,0.0055764,0.0055754
89,5000,0.0055423,0.0055414
90,5000,0.0055345,0.0055336
91,5000,0.0055759,0.005575
92,5000,0.0055656,0.0055642
93,5000,0.0055464,0.0055455
94,5000,0.005634,0.0056327
95,5000,0.0055274,0.0055258
96,5000,0.0055327,0.0055318
97,5000,0.0056437,0.005643
98,5000,0.0055636,0.0055627
99,5000,0.0055232,0.0055223
100,5000,0.005675,0.0056739
101,5000,0.0055363,0.0055352
102,5000,0.0055557,0.0055548
103,5000,0.0055636,0.0055627
104,5000,0.0055351,0.0055343
105,5000,0.0055754,0.0055742
106,5000,0.0055271,0.0055263
107,5000,0.005547,0.0055462
108,5000,0.0056104,0.0056094
109,5000,0.0055232,0.0055223
110,5000,0.0055201,0.0055193
111,5000,0.005661,0.0056595
112,5000,0.005555,0.005554
113,5000,0.0055451,0.0055443
114,5000,0.0057421,0.0057411
115,5000,0.0055296,0.0055286
116,5000,0.0055557,0.0055542
117,5000,0.0056014,0.0056002
118,5000,0.0055469,0.005546
119,5000,0.005563,0.0055619
120,5000,0.0055156,0.0055146
121,5000,0.0055102,0.0055092
122,5000,0.0055647,0.0055638
123,5000,0.0055464,0.0055454
124,5000,0.005516,0.0055151
125,5000,0.0055345,0.0055334
126,5000,0.0055154,0.0055144
127,5000,0.0055368,0.0055357
128,5000,0.0058704,0.0058693
129,5000,0.0055569,0.0055557
130,5000,0.0055559,0.005555
131,5000,0.0055299,0.0055289
132,5000,0.005541,0.00554
133,5000,0.0056009,0.0055999
134,5000,0.0055141,0.0055131
135,5000,0.0055141,0.0055131
136,5000,0.0055721,0.0055712
137,5000,0.0056585,0.0056572
138,5000,0.0055525,0.0055515
139,5000,0.0055978,0.0055966
140,5000,0.005539,0.0055375
141,5000,0.0055432,0.0055421
142,5000,0.0056511,0.00565
143,5000,0.0055835,0.0055821
144,5000,0.0055373,0.0055363
145,5000,0.0056089,0.0056078
146,5000,0.0055145,0.0055132
147,5000,0.0055688,0.0055677
148,5000,0.0055486,0.0055473
149,5000,0.0055155,0.0055144
150,5000,0.0055943,0.0055929
151,5000,0.0055267,0.0055256
152,5000,0.0055586,0.0055572
153,5000,0.0055516,0.0055505
154,5000,0.0055197,0.0055185
155,5000,0.0055042,0.0055029
156,5000,0.0056178,0.005616
157,5000,0.0055627,0.0055615
158,5000,0.00556,0.0055586
159,5000,0.0055527,0.0055515
160,5000,0.0055332,0.005532
161,5000,0.0055648,0.0055636
162,5000,0.0055536,0.0055525
163,5000,0.0055457,0.005544
164,5000,0.0055576,0.0055561
165,5000,0.0057055,0.0057041
166,5000,0.0055458,0.0055443
167,5000,0.0057021,0.0057002
168,5000,0.0055538,0.005552
169,5000,0.0055141,0.0055133
170,5000,0.0055277,0.0055267
171,5000,0.0055001,0.0054992
172,5000,0.005527,0.0055257
173,5000,0.0055907,0.0055897
174,5000,0.0055048,0.0055033
175,5000,0.0054955,0.0054946
176,5000,0.0055565,0.0055554
177,5000,0.0055558,0.0055546
178,5000,0.0055872,0.005586
179,5000,0.0055627,0.0055613
180,5000,0.005573,0.0055716
181,5000,0.0055764,0.0055752
182,5000,0.0055885,0.0055875
183,5000,0.0055581,0.0055571
184,5000,0.0055832,0.0055821
185,5000,0.0055224,0.0055213
186,5000,0.005522,0.0055211
187,5000,0.0055811,0.0055802
188,5000,0.0055362,0.0055352
189,5000,0.0055089,0.0055079
190,5000,0.0056102,0.005609
191,5000,0.0055102,0.0055089
192,5000,0.0055564,0.0055553
193,5000,0.0055315,0.0055305
194,5000,0.0055054,0.0055044
195,5000,0.0055336,0.0055326
196,5000,0.0055201,0.0055189
197,5000,0.0055449,0.0055441
198,5000,0.0055733,0.0055723
199,5000,0.0054979,0.0054965
200,5000,0.0055091,0.0055081
201,5000,0.0055143,0.0055134
202,5000,0.0055212,0.0055203
203,5000,0.005526,0.0055251
204,5000,0.0056538,0.005652
205,5000,0.0055202,0.005519
206,5000,0.0055201,0.0055191
207,5000,0.0055359,0.0055346
208,5000,0.0055195,0.0055183
209,5000,0.0055195,0.0055182
210,5000,0.0055255,0.0055245
211,5000,0.0055212,0.00552
212,5000,0.0055468,0.0055457
213,5000,0.0055222,0.0055212
214,5000,0.0054973,0.0054958
215,5000,0.0055275,0.0055264
216,5000,0.0054943,0.0054931
217,5000,0.005526,0.0055246
218,5000,0.0055313,0.0055301
219,5000,0.0054879,0.0054866
220,5000,0.0054969,0.0054957
221,5000,0.0055096,0.0055081
222,5000,0.0055214,0.0055202
223,5000,0.0054853,0.0054843
224,5000,0.0054912,0.0054901
225,5000,0.0054865,0.0054854
226,5000,0.005568,0.0055669
227,5000,0.0060121,0.0060108
228,5000,0.0055725,0.0055713
229,5000,0.0055617,0.0055607
230,5000,0.0055233,0.0055224
231,5000,0.0056381,0.0056371
232,5000,0.0057595,0.0057583
233,5000,0.0056366,0.0056355
234,5000,0.0055768,0.0055759
235,5000,0.0055431,0.0055423
236,5000,0.0055106,0.0055097
237,5000,0.0056242,0.0056231
238,5000,0.0055297,0.0055285
239,5000,0.0055329,0.0055321
240,5000,0.0054944,0.0054933
