iteration,liveAgents,frameTime,tickTime
1,1600,0.0019182,0.0019134
2,1600,0.0016329,0.0016317
3,1600,0.0015507,0.00155
4,1600,0.0013647,0.0013643
5,1600,0.0012873,0.0012869
6,1600,0.0012582,0.0012579
7,1600,0.0012616,0.0012613
8,1600,0.0012587,0.0012584
9,1600,0.0012586,0.0012582
10,1600,0.0012606,0.0012602
11,1600,0.0012532,0.0012529
12,1600,0.0012305,0.0012301
13,1600,0.0012296,0.0012292
14,1600,0.0011985,0.0011981
15,1600,0.0011777,0.0011773
16,1600,0.001237,0.0012365
17,1600,0.0011765,0.0011759
18,1600,0.0011704,0.00117
19,1600,0.0011664,0.001166
20,1600,0.0011628,0.0011624
21,1600,0.0011625,0.0011623
22,1600,0.0011649,0.0011645
23,1600,0.0011623,0.001162
24,1600,0.001165,0.0011646
25,1600,0.0011621,0.0011618
26,1600,0.0011639,0.0011635
27,1600,0.0011638,0.0011634
28,1600,0.001167,0.0011666
29,1600,0.0011763,0.0011757
30,1600,0.0011623,0.0011619
31,1600,0.0011635,0.0011632
32,1600,0.0011576,0.0011573
33,1600,0.0011558,0.0011554
34,1600,0.0011616,0.0011613
35,1600,0.0011574,0.001157
36,1600,0.0011588,0.0011584
37,1600,0.0011572,0.0011568
38,1600,0.0011593,0.0011589
39,1600,0.0011577,0.0011574
40,1600,0.0011584,0.0011581
41,1600,0.0011596,0.0011592
42,1600,0.0011822,0.0011816
43,1600,0.001169,0.0011687
44,1600,0.0011654,0.0011649
45,1600,0.0011641,0.0011638
46,1600,0.0011543,0.0011541
47,1600,0.001154,0.0011536
48,1600,0.0011512,0.0011509
49,1600,0.0011545,0.0011541
50,1600,0.0011517,0.0011513
51,1600,0.0011508,0.0011505
52,1600,0.0011523,0.0011518
53,1600,0.0011514,0.0011511
54,1600,0.0011512,0.0011509
55,1600,0.0011533,0.0011528
56,1600,0.0011565,0.0011561
57,1600,0.0011512,0.0011509
58,1600,0.0011524,0.001152
59,1600,0.0011498,0.0011495
60,1600,0.0011534,0.001153
61,1600,0.0011523,0.0011519
62,1600,0.0011514,0.0011511
63,1600,0.0011501,0.0011498
64,1600,0.0011525,0.0011521
65,1600,0.0011478,0.0011475
66,1600,0.00115,0.0011496
67,1600,0.0011522,0.0011515
68,1600,0.0011496,0.0011493
69,1600,0.0011501,0.0011497
70,1600,0.0011773,0.001177
71,1600,0.0011628,0.0011625
72,1600,0.0011597,0.0011593
73,1600,0.0011583,0.001158
74,1600,0.0011564,0.0011561
75,1600,0.0011565,0.0011562
76,1600,0.0011572,0.0011568
77,1600,0.0011617,0.0011614
78,1600,0.0011539,0.0011535
79,1600,0.0011596,0.0011591
80,1600,0.0011553,0.001155
81,1600,0.0011541,0.0011538
82,1600,0.0011569,0.0011566
83,1600,0.0011705,0.00117
84,1600,0.0012159,0.0012155
85,1600,0.0012581,0.0012577
86,1600,0.0012349,0.0012345
87,1600,0.0011591,0.0011579
88,1600,0.0011517,0.0011514
89,1600,0.0011485,0.0011481
90,1600,0.0011501,0.0011497
91,1600,0.0011513,0.0011511
92,1600,0.0011489,0.0011485
93,1600,0.0011502,0.0011498
94,1600,0.0011529,0.0011525
