iteration,liveAgents,frameTime,tickTime
1,2000,0.0023654,0.0023596
2,2000,0.0019691,0.0019674
3,2000,0.0019619,0.0019611
4,2000,0.001778,0.0017772
5,2000,0.0015873,0.0015868
6,2000,0.0015469,0.0015465
7,2000,0.0015035,0.0015032
8,2000,0.0015014,0.0015011
9,2000,0.0014988,0.0014982
10,2000,0.0016119,0.0016109
11,2000,0.001654,0.001653
12,2000,0.0016037,0.0016032
13,2000,0.0015037,0.0015033
14,2000,0.0016439,0.0016428
15,2000,0.0015508,0.0015501
16,2000,0.0014788,0.0014784
17,2000,0.0014179,0.0014176
18,2000,0.001442,0.0014417
19,2000,0.001455,0.0014546
20,2000,0.0015214,0.0015209
21,2000,0.0014305,0.0014301
22,2000,0.0014275,0.0014271
23,2000,0.0014214,0.0014211
24,2000,0.001428,0.0014276
25,2000,0.0014273,0.0014269
26,2000,0.0014138,0.0014135
27,2000,0.0014168,0.0014164
28,2000,0.001427,0.0014265
29,2000,0.0014246,0.0014242
30,2000,0.0014168,0.0014163
31,2000,0.001465,0.0014645
32,2000,0.0015067,0.001506
33,2000,0.0015346,0.0015341
34,2000,0.0015328,0.0015323
35,2000,0.0014735,0.001473
36,2000,0.0014617,0.0014612
37,2000,0.0014258,0.0014254
38,2000,0.0014358,0.0014354
39,2000,0.0014389,0.0014385
40,2000,0.0014112,0.0014108
41,2000,0.0014135,0.0014132
42,2000,0.001573,0.0015723
43,2000,0.0015101,0.0015095
44,2000,0.0015001,0.0014997
45,2000,0.0014221,0.0014217
46,2000,0.0014151,0.0014148
47,2000,0.0014199,0.0014195
48,2000,0.0014219,0.0014216
49,2000,0.0014108,0.0014105
50,2000,0.0014104,0.00141
51,2000,0.0014133,0.0014129
52,2000,0.001423,0.0014226
53,2000,0.0014636,0.0014633
54,2000,0.0014834,0.001483
55,2000,0.0014788,0.0014786
56,2000,0.0014339,0.0014335
57,2000,0.001441,0.0014406
58,2000,0.001443,0.0014426
59,2000,0.0014176,0.0014174
60,2000,0.0014188,0.0014185
