iteration,liveAgents,frameTime,tickTime
1,10000,0.0123622,0.0123565
2,10000,0.010258,0.0102567
3,10000,0.0104768,0.0104759
4,10000,0.0103843,0.0103838
5,10000,0.0104457,0.0104451
6,10000,0.0102007,0.0102002
7,10000,0.0102491,0.0102487
8,10000,0.0099972,0.0099968
9,10000,0.0098659,0.0098654
10,10000,0.0094184,0.0094178
11,10000,0.009404,0.0094033
12,10000,0.0093675,0.0093668
13,10000,0.0094072,0.0094065
14,10000,0.0093916,0.0093908
15,10000,0.00948,0.0094792
16,10000,0.0094687,0.0094678
17,10000,0.0093796,0.0093789
18,10000,0.009381,0.0093801
19,10000,0.0094059,0.0094048
20,10000,0.0094438,0.0094425
21,10000,0.0094001,0.0093992
22,10000,0.0093834,0.0093827
23,10000,0.0094028,0.0094022
24,10000,0.0093918,0.009391
25,10000,0.0093881,0.0093873
26,10000,0.0094053,0.0094043
27,10000,0.0094393,0.0094385
28,10000,0.0094101,0.0094084
29,10000,0.0093696,0.0093687
30,10000,0.0094242,0.0094232
31,10000,0.0094061,0.0094052
32,10000,0.0094459,0.0094452
33,10000,0.0094043,0.0094035
34,10000,0.0093901,0.0093891
35,10000,0.0094008,0.0093998
36,10000,0.0094004,0.0093995
37,10000,0.0093989,0.009398
38,10000,0.009528,0.0095268
39,10000,0.009409,0.009407
40,10000,0.0094314,0.0094302
41,10000,0.0094342,0.009433
42,10000,0.0094068,0.0094058
43,10000,0.0094565,0.0094551
44,10000,0.0094329,0.0094314
45,10000,0.0093907,0.0093895
46,10000,0.0094198,0.0094183
47,10000,0.0094088,0.0094068
48,10000,0.0094008,0.0093995
49,10000,0.0093977,0.0093964
50,10000,0.0094208,0.0094196
51,10000,0.009393,0.0093912
52,10000,0.0094005,0.0093992
53,10000,0.0094423,0.009441
54,10000,0.0094922,0.0094906
55,10000,0.0096597,0.0096578
56,10000,0.0094106,0.0094089
57,10000,0.0094078,0.0094066
58,10000,0.0094233,0.0094221
59,10000,0.0093971,0.0093959
60,10000,0.0094295,0.0094284
61,10000,0.0094575,0.0094563
62,10000,0.0093781,0.009377
63,10000,0.0094284,0.0094275
64,10000,0.0093963,0.0093953
65,10000,0.0094829,0.0094819
66,10000,0.0094109,0.0094095
67,10000,0.0093954,0.0093945
68,10000,0.0094147,0.0094134
69,10000,0.0094054,0.0094043
70,10000,0.0094008,0.0093997
71,10000,0.0094541,0.0094531
72,10000,0.0094556,0.0094543
73,10000,0.0094438,0.0094428
74,10000,0.00943,0.009429
75,10000,0.0094527,0.0094514
76,10000,0.0094941,0.0094931
77,10000,0.0094053,0.0094044
78,10000,0.0094083,0.0094072
79,10000,0.0094582,0.0094571
80,10000,0.0094533,0.0094519
81,10000,0.009425,0.0094236
82,10000,0.0094105,0.0094093
83,10000,0.0095129,0.0095116
84,10000,0.0094627,0.0094616
85,10000,0.0101115,0.0101088
86,10000,0.0104046,0.0104017
87,10000,0.0101429,0.0101414
88,10000,0.0094551,0.0094537
89,10000,0.009442,0.0094405
90,10000,0.0094708,0.0094697
91,10000,0.0095159,0.0095138
92,10000,0.0095376,0.009536
93,10000,0.0094228,0.0094217
94,10000,0.0094285,0.0094273
95,10000,0.0093946,0.0093935
96,10000,0.0098366,0.0098349
97,10000,0.0095928,0.0095913
98,10000,0.0094488,0.0094473
99,10000,0.0094344,0.0094329
100,10000,0.0093951,0.0093939
101,10000,0.0094019,0.0094008
102,10000,0.0094442,0.009443
103,10000,0.0094028,0.0094013
104,10000,0.0094734,0.0094721
105,10000,0.0093873,0.009386
106,10000,0.0096682,0.0096668
107,10000,0.0094756,0.0094741
108,10000,0.0093847,0.0093834
109,10000,0.0094275,0.0094264
110,10000,0.0093899,0.0093888
111,10000,0.0094417,0.0094404
112,10000,0.0094386,0.0094374
113,10000,0.0094437,0.0094424
114,10000,0.0094133,0.0094122
115,10000,0.0094048,0.0094037
116,10000,0.0094122,0.0094108
117,10000,0.0094268,0.0094255
118,10000,0.009442,0.0094404
119,10000,0.0094813,0.0094801
120,10000,0.0094606,0.0094594
121,10000,0.0093962,0.0093949
122,10000,0.0094433,0.0094421
123,10000,0.0094058,0.0094045
124,10000,0.009554,0.0095527
125,10000,0.0094616,0.0094601
126,10000,0.0094063,0.009405
127,10000,0.0094961,0.0094949
128,10000,0.0094018,0.0094007
129,10000,0.0095022,0.0095008
130,10000,0.0094262,0.0094246
131,10000,0.0093834,0.0093823
132,10000,0.0094252,0.0094238
133,10000,0.0094328,0.0094317
134,10000,0.0094022,0.0094012
135,10000,0.0094916,0.0094902
136,10000,0.009408,0.0094064
137,10000,0.0094935,0.0094923
138,10000,0.0094108,0.0094095
139,10000,0.0094476,0.0094463
140,10000,0.0094653,0.009464
141,10000,0.009392,0.0093906
142,10000,0.0095751,0.0095737
143,10000,0.0095106,0.0095092
144,10000,0.0094817,0.0094798
145,10000,0.009462,0.0094603
146,10000,0.009453,0.0094512
147,10000,0.0094649,0.0094636
148,10000,0.0094097,0.0094084
149,10000,0.009498,0.0094966
150,10000,0.0094592,0.0094574
151,10000,0.0094701,0.0094688
152,10000,0.009476,0.009475
153,10000,0.0094296,0.0094284
154,10000,0.0097072,0.0097059
155,10000,0.0094503,0.0094487
156,10000,0.0093992,0.009398
157,10000,0.0094338,0.0094321
158,10000,0.0093999,0.0093986
159,10000,0.0094054,0.0094042
160,10000,0.0095214,0.00952
161,10000,0.0094245,0.009423
